,surname,frequency
282,SKRZYPCZAK,0.001276004943082212
283,GROCHOWSKA,0.001275013948252232
284,GRUSZKA,0.001271049968932312
285,GÓRKA,0.0012656985968504202
286,KUŚ,0.0012639148061564564
287,RÓŻAŃSKA,0.0012633202092584683
288,WINIARSKA,0.0012589598320065563
289,PRZYBYŁA,0.0012561850464826124
290,SZCZĘSNA,0.0012530138630266767
291,KULIK,0.0012524192661286886
292,CYBULSKA,0.0012502390775027327
293,KRAWIEC,0.001240923726100921
294,LEŚNIEWSKA,0.001239734532304945
295,ZAREMBA,0.0012333921653930732
296,PTAK,0.0012325993695290892
297,KONOPKA,0.0012314101757331132
298,PANEK,0.0012288335891751652
299,GIL,0.0012205092326033336
300,SŁOWIK,0.0012203110336373375
301,KRZYŻANOWSKA,0.0012183290439773775
302,TOKARSKA,0.0012121848760315017
303,CICHOCKA,0.0012119866770655058
304,CICHOŃ,0.0012107974832695299
305,MIKOŁAJCZAK,0.0012107974832695299
306,SZCZEPANIK,0.001206437106017618
307,SIWEK,0.001199698341173754
308,MIELCZAREK,0.0011899865918399504
309,ZARZYCKA,0.0011828514290640945
310,GRACZYK,0.0011792838476761666
311,MŁYNARCZYK,0.0011778964549141947
312,STRZELECKA,0.0011769054600842147
313,SZYMCZYK,0.0011743288735262668
314,BARTKOWIAK,0.0011741306745602707
315,BUCZEK,0.001169373899376367
316,KŁOS,0.001168382904546387
317,MAĆKOWIAK,0.001164418925226467
318,STAŃCZYK,0.0011634279303964871
319,KACZYŃSKA,0.0011600585479745553
320,SZCZYGIEŁ,0.0011576801603826034
321,KOSTRZEWA,0.0011535179820966873
322,BIERNAT,0.0011515359924367274
323,SZOSTAK,0.0011507431965727434
324,JANUS,0.0011505449976067475
325,JANIAK,0.0011499504007087594
326,WĘGRZYN,0.0011487612069127834
327,NIEWIADOMSKA,0.0011471756151848155
328,SIENKIEWICZ,0.0011414278451709317
329,GRZYB,0.0011410314472389397
330,FILIPIAK,0.0011404368503409518
331,SKOWRON,0.0011390494575789797
332,KUCHARCZYK,0.0011376620648170079
333,KALETA,0.001130526902041152
334,GÓRNA,0.001129337708245176
335,BOGUSZ,0.0011249773309932641
336,GAWRON,0.0011249773309932641
337,JUREK,0.0011218061475373282
338,RAKOWSKA,0.0011218061475373282
339,KUBIK,0.0011196259589113724
340,BAGIŃSKA,0.0011178421682174085
341,KSIĄŻEK,0.0011160583775234444
342,CIEŚLA,0.0011134817909654966
343,GĄSIOR,0.0011105088064755565
344,ANTCZAK,0.0011091214137135847
345,BARTCZAK,0.0011055538323256568
346,BANASIAK,0.0011053556333596609
347,ŻEBROWSKA,0.0011045628374956769
348,RÓŻYCKA,0.001101788051971733
349,GAWLIK,0.0011004006592097609
350,KRÓLIKOWSKA,0.0010920763026379292
351,MIKULSKA,0.0010879141243520132
352,ZARĘBA,0.0010871213284880292
353,HAJDUK,0.0010869231295220333
354,TRZCIŃSKA,0.0010865267315900414
355,KULA,0.0010861303336580494
356,ROGALSKA,0.0010770131812222335
357,FRĄCZEK,0.0010736437988003017
358,DŁUGOSZ,0.0010714636101743457
359,GRZEGORCZYK,0.0010710672122423537
360,RZEPKA,0.0010692834215483898
361,ROJEK,0.0010676978298204218
362,MALEC,0.001064724845330482
363,ROGALA,0.001062742855670522
364,MALISZEWSKA,0.001061751860840542
365,TROJANOWSKA,0.001060760866010562
366,RADOMSKA,0.001058580677384606
367,GAWROŃSKA,0.0010571932846226342
368,PAŁKA,0.0010552112949626742
369,DOBOSZ,0.001054616698064686
370,WITCZAK,0.0010470851373568385
371,TKACZYK,0.0010441121528668984
372,STEC,0.0010403463725129746
373,BOREK,0.0010381661838870188
374,RYBICKA,0.0010371751890570387
375,LACH,0.0010340040056011027
376,MIKA,0.001025679649029271
377,FRANKOWSKA,0.0010211210728113631
378,KISIEL,0.0010189408841854073
379,BOGUCKA,0.0010183462872874192
380,ZABOROWSKA,0.0010108147265795715
381,WĄSIK,0.0010092291348516036
382,ŚLUSARCZYK,0.0010082381400216235
383,KARWOWSKA,0.0010078417420896315
384,KACZOROWSKA,0.0010060579513956676
385,GAŁĄZKA,0.0010038777627697116
386,KMIECIK,0.000997138997925848
387,GRZESIAK,0.0009961480030958678
388,KWAŚNIEWSKA,0.0009941660134359079
389,WIĘCKOWSKA,0.000993175018605928
390,LIPSKA,0.000988418243422024
391,KUBACKA,0.0009846524630681003
392,BIAŁAS,0.0009836614682381202
393,WALKOWIAK,0.0009808866827141762
394,BOCHENEK,0.0009763281064962684
395,PIETRAS,0.0009761299075302725
396,FRĄCKOWIAK,0.0009759317085642765
397,JANAS,0.0009759317085642765
398,JUSZCZAK,0.0009715713313123645
399,DUDZIŃSKA,0.0009711749333803726
400,SOKÓŁ,0.0009711749333803726
401,WOJTCZAK,0.0009703821375163886
402,PAWELEC,0.0009701839385503926
403,KOVALCHUK,0.0009682019488904326
404,MROCZEK,0.0009666163571624646
405,WNUK,0.0009666163571624646
406,NAWROT,0.0009662199592304727
407,WÓJCICKA,0.0009622559799105528
408,LASOTA,0.0009614631840465689
409,ROSIAK,0.0009574992047266489
410,ZYGMUNT,0.000955517215066689
411,PASTERNAK,0.000955120817134697
412,JĘDRZEJCZYK,0.0009517514347127651
413,BURZYŃSKA,0.0009491748481548172
414,WROŃSKA,0.0009489766491888212
415,KOŁODZIEJSKA,0.0009487784502228252
416,SKRZYPEK,0.0009481838533248372
417,CZYŻEWSKA,0.0009479856543588412
418,PIWOWARCZYK,0.0009475892564268492
419,SZAFRAŃSKA,0.0009458054657328853
420,SHEVCHENKO,0.0009436252771069293
421,FIJAŁKOWSKA,0.0009420396853789614
422,GRUSZCZYŃSKA,0.0009414450884809734
423,ŁUKASIEWICZ,0.0009398594967530054
424,ŻMUDA,0.0009394630988210134
425,KRYSIAK,0.0009380757060590414
426,PIÓRKOWSKA,0.0009364901143310736
427,JURKIEWICZ,0.0009354991195010936
428,BOROWIEC,0.0009339135277731256
429,JAGIEŁŁO,0.0009333189308751376
430,ZAJĄCZKOWSKA,0.0009315351401811737
431,MISIAK,0.0009301477474192017
432,ŁAPIŃSKA,0.0009283639567252377
433,JAGODZIŃSKA,0.0009281657577592417
434,MASŁOWSKA,0.0009263819670652778
435,DĄBEK,0.0009257873701672898
436,KRAKOWIAK,0.0009257873701672898
437,BUJAK,0.0009238053805073299
438,LISIECKA,0.000922417987745358
439,JĘDRZEJCZAK,0.000921426992915378
440,GAWEŁ,0.000918454008425438
441,PILARSKA,0.0009164720187654781
442,DZIUBA,0.0009101296518536063
443,WILCZEK,0.0009097332539216143
444,GUTOWSKA,0.0009085440601256384
445,SOBIERAJ,0.0009061656725336864
446,KARAŚ,0.0009051746777037064
447,FLIS,0.0009047782797717144
448,DRZEWIECKA,0.0009025980911457585
449,TWARDOWSKA,0.0009025980911457585
450,STRZELCZYK,0.0009020034942477705
451,STELMACH,0.0008992287087238266
452,BIELAWSKA,0.0008988323107918346
453,DĘBOWSKA,0.0008948683314719147
454,SKIBIŃSKA,0.0008948683314719147
455,ŁUKASZEWSKA,0.0008946701325059188
456,KUBICA,0.0008922917449139668
457,ROMANIUK,0.0008911025511179908
458,ZIELONKA,0.0008907061531859988
459,TARNOWSKA,0.0008905079542200028
460,SKOCZYLAS,0.0008901115562880108
461,FALKOWSKA,0.0008871385717980709
462,SZCZEŚNIAK,0.0008867421738660789
