,surname,frequency
283,GRUSZKA,0.00128502184678595
284,AUGUSTYNIAK,0.0012821927375148378
285,KRAWIEC,0.0012775449151408674
286,SKRZYPCZAK,0.0012753220435707078
287,GROCHOWSKI,0.0012726950135332463
288,PTAK,0.0012688555080938796
289,PANEK,0.0012666326365237198
290,GIL,0.0012591557048786373
291,PRZYBYŁA,0.0012587515464113355
292,RÓŻAŃSKI,0.0012464247131586319
293,KONOPKA,0.0012454143169903773
294,KULIK,0.0012450101585230757
295,WINIARSKI,0.0012423831284856142
296,KOMOROWSKI,0.0012377353061116439
297,SŁOWIK,0.001231066691401165
298,SIWEK,0.0012292479782983069
299,ZAREMBA,0.001227429265195449
300,CYBULSKI,0.001220558571251319
301,LEŚNIEWSKI,0.0012163149073446506
302,SZCZEPANIK,0.001215708669643698
303,GRZYB,0.0012094442134005206
304,KŁOS,0.0012076255002976626
305,KRZYŻANOWSKI,0.0011997444101852783
306,MIELCZAREK,0.0011993402517179767
307,CICHOŃ,0.0011983298555497221
308,TOKARSKI,0.001197117380147817
309,ZARZYCKI,0.0011955007462786098
310,GRACZYK,0.001193682033175752
311,MŁYNARCZYK,0.0011894383692690835
312,KACZYŃSKI,0.0011829718337922552
313,MIKOŁAJCZAK,0.0011811531206893974
314,BUCZEK,0.0011777177737173324
315,STAŃCZYK,0.0011771115360163797
316,SZOSTAK,0.0011728678721097112
317,WĘGRZYN,0.0011708470797732024
318,BIERNAT,0.0011702408420722497
319,SZYMCZYK,0.0011694325251376462
320,CICHOCKI,0.0011686242082030427
321,STRZELECKI,0.0011659971781655812
322,JUREK,0.0011643805442963743
323,SZCZYGIEŁ,0.0011609451973243093
324,SKOWRON,0.0011583181672868478
325,BARTKOWIAK,0.0011554890580157354
326,MAĆKOWIAK,0.0011536703449128776
327,BOGUSZ,0.0011482142056043038
328,GĄSIOR,0.001147810047137002
329,JANUS,0.0011476079679033511
330,CIEŚLA,0.0011447788586322388
331,GAWRON,0.0011431622247630318
332,FILIPIAK,0.0011397268777909668
333,MELNYK,0.0011381102439217599
334,KUCHARCZYK,0.0011370998477535053
335,KALETA,0.0011316437084449315
336,NIEWIADOMSKI,0.0011316437084449315
337,KOSTRZEWA,0.0011267938068373104
338,KULA,0.001123964697566198
339,JANIAK,0.0011233584598652456
340,KUBIK,0.0011233584598652456
341,KSIĄŻEK,0.0011209335090614349
342,RAKOWSKI,0.001120731429827784
343,RZEPKA,0.0011195189544258787
344,SIENKIEWICZ,0.0011183064790239734
345,BAGIŃSKI,0.00111749816208937
346,PAŁKA,0.0011092129135096837
347,GAWLIK,0.001109010834276033
348,RÓŻYCKI,0.0011015339026309505
349,ANTCZAK,0.0010980985556588855
350,ZARĘBA,0.0010968860802569801
351,FRĄCZEK,0.0010948652879204713
352,BARTCZAK,0.0010906216240138028
353,MALEC,0.001090217465546501
354,TRZCIŃSKI,0.0010845592470042763
355,ŻEBROWSKI,0.0010764760776582412
356,ROGALSKI,0.0010748594437890342
357,BANASIAK,0.0010742532060880816
358,DŁUGOSZ,0.0010710199383496674
359,MIKULSKI,0.0010687970667795077
360,KRÓLIKOWSKI,0.001068594987545857
361,HAJDUK,0.0010641492444055374
362,ROGALA,0.0010611180559007742
363,ROJEK,0.0010570764712277566
364,TKACZYK,0.001054853599657597
365,LACH,0.0010530348865547391
366,KISIEL,0.0010508120149845793
367,GRZEGORCZYK,0.0010495995395826741
368,BOREK,0.0010461641926106091
369,GAWROŃSKI,0.0010421226079375915
370,DOBOSZ,0.0010411122117693372
371,STEC,0.0010411122117693372
372,TROJANOWSKI,0.0010409101325356861
373,MALISZEWSKI,0.0010322207254886983
374,WĄSIK,0.0010312103293204438
375,RYBICKI,0.0010304020123858403
376,ŚLUSARCZYK,0.0010281791408156807
377,RADOMSKI,0.001027572903114728
378,WITCZAK,0.0010261583484791718
379,WOLNY,0.0010249458730772667
380,MIKA,0.0010170647829648822
381,LIPSKI,0.001012214881357261
382,ZABOROWSKI,0.0010114065644226576
383,KMIECIK,0.0010099920097871014
384,WALKOWIAK,0.0010061525043477348
385,BIAŁAS,0.0010043337912448767
386,GRZESIAK,0.0010004942858055101
387,PAWELEC,0.0009992818104036048
388,GAŁĄZKA,0.0009968568595997943
389,KACZOROWSKI,0.0009958464634315398
390,FRĄCKOWIAK,0.000995644384197889
391,SOKÓŁ,0.000995240225730587
392,BOGUCKI,0.0009942298295623328
393,KARWOWSKI,0.0009920069579921731
394,WNUK,0.000991804878758522
395,BOCHENEK,0.000990390324122966
396,FRANKOWSKI,0.0009881674525528063
397,CICHY,0.0009841258678797886
398,ZYGMUNT,0.000983721709412487
399,ŻMUDA,0.000978669728571215
400,KWAŚNIEWSKI,0.000976851015468357
401,PASTERNAK,0.0009742239854308956
402,NAWROT,0.0009724052723280377
403,WIĘCKOWSKI,0.0009724052723280377
404,JUSZCZAK,0.0009681616084213691
405,WÓJCICKI,0.0009665449745521621
406,DUDZIŃSKI,0.0009610888352435883
407,GAWEŁ,0.0009608867560099375
408,MROCZEK,0.0009608867560099375
409,PIETRAS,0.0009594722013743813
410,JANAS,0.0009590680429070796
411,LASOTA,0.0009495703189254882
412,ROSIAK,0.0009489640812245355
413,MISIAK,0.0009461349719534232
414,FIJAŁKOWSKI,0.0009451245757851688
415,SKRZYPEK,0.000944720417317867
416,KARAŚ,0.0009445183380842161
417,ŁAPIŃSKI,0.0009433058626823109
418,WOJTCZAK,0.0009431037834486599
419,WROŃSKI,0.0009418913080467547
