,name,gender,frequency
46,ANETA,F,0.0038008799895869185
47,WERONIKA,F,0.0037920086215663357
48,ADRIAN,M,0.0037313625463973803
48,EWELINA,F,0.0037140708968657356
49,KAZIMIERZ,M,0.0035838321974223214
49,MARTYNA,F,0.0035687207993533626
50,KLAUDIA,F,0.003479004704681932
50,WIESŁAW,M,0.0034320165266068115
51,FRANCISZEK,M,0.0034106149777661967
52,MIKOŁAJ,M,0.003386105944082214
53,DOMINIK,M,0.0033803420609049986
51,GABRIELA,F,0.003371796477585737
54,ARKADIUSZ,M,0.00334179922470258
52,LENA,F,0.003251531802075068
53,MARZENA,F,0.0032435626070735275
55,MARIAN,M,0.003232360625420419
56,BARTŁOMIEJ,M,0.003149736613093127
54,AMELIA,F,0.0031131986058219128
55,DOMINIKA,F,0.003078966151821585
56,KINGA,F,0.003030524472771341
57,MARIANNA,F,0.0029118386000439958
57,WIKTOR,M,0.002877956991106629
58,EDYTA,F,0.002856981468413895
58,LESZEK,M,0.002826182283958256
59,OLEKSANDR,M,0.0028194410466770787
60,KRYSTIAN,M,0.002791373441640207
59,KAMILA,F,0.002788466439689959
60,STANISŁAWA,F,0.0027628798104554534
61,WALDEMAR,M,0.0026620870359391146
61,WIESŁAWA,F,0.0026313630325683957
62,RADOSŁAW,M,0.0026007643310058774
62,ALINA,F,0.0025895874097144086
63,BOGDAN,M,0.00237592276637122
63,WANDA,F,0.00233304448760507
64,IGOR,M,0.0023196371941276357
65,ZDZISŁAW,M,0.002316680071454108
66,KONRAD,M,0.00227069430784459
67,HUBERT,M,0.0022390681314548287
64,DARIA,F,0.002185890044054612
65,TETIANA,F,0.0021556672479166946
66,LIDIA,F,0.0020711637084663975
67,MARIOLA,F,0.002054247964359354
68,NATALIIA,F,0.0020338488299843417
69,LUCYNA,F,0.0020005185490030563
68,EDWARD,M,0.0019854071509340975
70,OLENA,F,0.001968516467188694
69,MARCEL,M,0.0019522021717610122
71,NIKOLA,F,0.0019458117795427957
70,OSKAR,M,0.001934584737528047
72,MILENA,F,0.001919849244883689
71,MIECZYSŁAW,M,0.0018951146679449455
73,IRYNA,F,0.0018846143764177587
74,LAURA,F,0.0018459963591304196
75,WIOLETTA,F,0.0018172771846909058
72,WŁADYSŁAW,M,0.001777280847513363
73,MAKSYMILIAN,M,0.0017529221759992205
76,MIROSŁAWA,F,0.0017507920452598151
77,ANTONINA,F,0.00173324979211177
74,SERHII,M,0.0017225239573298225
75,ANDRII,M,0.0017167851345142478
76,CZESŁAW,M,0.0016308531544504672
77,NIKODEM,M,0.0016301264039629052
78,MIŁOSZ,M,0.0016287480840727017
78,ANGELIKA,F,0.001626567832610016
79,VOLODYMYR,M,0.0015521886792623052
79,OLHA,F,0.0015358242631113431
80,OLGA,F,0.001533368347670617
80,EUGENIUSZ,M,0.0015172294747744155
81,LEON,M,0.0014888862057595026
81,OKSANA,F,0.0014872572822528984
82,BOGUSŁAW,M,0.0014831473829439279
83,IRENEUSZ,M,0.0014825208739029263
82,MARIIA,F,0.0014375124643973708
84,OLIWIER,M,0.0014315982190503155
83,MICHALINA,F,0.0014189427364220831
84,SVITLANA,F,0.001410397153102821
85,DMYTRO,M,0.0014078911169388146
86,STEFAN,M,0.0013922033305521343
87,WITOLD,M,0.0013883440348595646
85,ILONA,F,0.0013794476064773417
86,BOGUMIŁA,F,0.001371453351114161
87,KAZIMIERA,F,0.0013660904337231873
88,SANDRA,F,0.0013623313794771778
89,ANASTASIIA,F,0.0013500768626351863
90,YULIIA,F,0.0013490744481695837
88,SYLWESTER,M,0.0013411553738913234
